lang,family,eu24,asr_train_hours,asr_cv22,asr_mls,asr_voxpopuli,asr_fleurs,asr_other,granary_asr_only,granary_ast,st_x_to_en_train_hours,covost_x_to_en,covost_en_to_x,max_full_tier,check_all_splits,sheet_by_language_task_asr
en,Germanic,yes,151848.7,1798.4,39215.8,522.6,7.5,7847.5,102457.0,0.0,0.0,0.0,0.0,700,152154.4,152154.35166666668
es,Romance,yes,28200.0,508.7,917.7,151.9,8.8,0.0,779.6,25833.3,25946.5,113.2,0.0,700,28288.3,28288.347450850695
fr,Romance,yes,14370.7,850.8,1076.6,205.7,10.3,0.0,715.5,11511.7,11776.0,264.3,0.0,700,14454.0,14454.0144684375
de,Germanic,yes,11128.2,962.7,1966.5,264.6,9.0,0.0,496.2,7429.1,7612.9,183.8,429.9,700,11201.2,11201.225108645835
it,Romance,yes,6734.1,254.7,247.4,78.1,9.0,0.0,120.2,6024.7,6068.9,44.1,0.0,700,6810.2,6810.248305416666
nl,Germanic,yes,3028.3,54.1,1554.2,46.4,7.7,0.0,37.8,1328.1,1335.5,7.3,0.0,700,3093.0,3093.0085473958334
pt,Romance,yes,2100.9,26.3,161.0,0.0,10.2,0.0,262.2,1641.2,1651.5,10.3,0.0,700,2137.7,2137.66926890625
pl,Slavic,yes,930.7,35.5,103.6,97.7,9.2,0.0,21.1,663.6,663.6,0.0,0.0,700,975.9,975.917155798611
hu,Uralic,yes,273.8,56.6,0.0,54.1,9.3,0.0,8.5,145.3,145.3,0.0,0.0,100,319.7,319.70667114583335
fi,Uralic,yes,193.7,2.6,0.0,22.6,8.8,0.0,3.8,155.9,155.9,0.0,0.0,100,206.6,206.56559225694443
cs,Slavic,yes,160.3,28.8,0.0,53.6,8.4,0.0,3.8,65.6,65.6,0.0,0.0,100,193.9,193.9429062152778
ro,Romance,yes,130.6,5.7,0.0,76.4,10.1,0.0,5.8,32.5,32.5,0.0,0.0,100,151.8,151.81942769097222
sv,Germanic,yes,110.3,9.1,0.0,0.0,8.4,0.0,1.9,90.9,92.6,1.8,429.7,100,126.5,126.51920145833333
hr,Slavic,yes,56.0,0.0,0.0,34.8,11.8,0.0,0.2,9.2,9.2,0.0,0.0,30,66.1,66.06010197916667
sk,Slavic,yes,54.2,8.9,0.0,30.1,5.9,0.0,0.5,8.9,8.9,0.0,0.0,30,73.5,73.49663791666667
bg,Slavic,yes,35.2,7.2,0.0,0.0,9.5,0.0,1.8,16.7,16.7,0.0,0.0,30,47.9,47.86155201388888
lv,Baltic,yes,30.5,23.3,0.0,0.0,6.5,0.0,0.1,0.6,2.7,2.1,430.1,30,59.1,59.10267536458334
da,Germanic,yes,29.0,4.2,0.0,0.0,7.5,0.0,0.6,16.7,16.7,0.0,0.0,10,40.0,40.03678567708334
lt,Baltic,yes,28.4,11.7,0.0,1.3,9.8,0.0,0.6,4.9,4.9,0.0,0.0,10,47.5,47.53855401041667
el,Hellenic,yes,27.0,2.2,0.0,0.0,10.0,0.0,1.0,13.8,13.8,0.0,0.0,10,33.6,33.59813939236111
et,Uralic,yes,24.3,6.4,0.0,2.3,7.3,0.0,0.5,7.9,11.2,3.4,430.1,10,39.3,39.281594930555556
sl,Slavic,yes,15.3,1.5,0.0,6.1,7.8,0.0,0.0,0.0,2.0,2.0,430.1,10,25.3,25.27769079861111
ga,Celtic,yes,12.7,0.6,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,10,18.9,18.893583836805558
mt,Semitic,yes,12.3,2.4,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,10,21.8,21.76813333333333
ru,Slavic,no,20172.9,38.1,0.0,0.0,8.1,0.0,1732.5,18394.2,18412.4,18.2,0.0,700,20207.9,20207.9435325
ca,Romance,no,1747.3,1739.9,0.0,0.0,7.4,0.0,0.0,0.0,135.8,135.8,429.9,700,1807.2,1807.223608923611
uk,Slavic,no,647.0,31.7,0.0,0.0,9.0,0.0,10.2,596.1,596.1,0.0,0.0,300,677.8,677.8318202083334
